50 350 15168
183 26 22 1.0
87 13 15 1.0
328 47 48 1.0
200 29 27 1.0
48 7 12 1.0
4 1 4 1.0
22 3 0 1.0
2 1 2 1.0
30 5 1 1.0
78 11 1 1.0
229 33 35 1.0
83 12 11 1.0
69 10 12 1.0
280 40 44 1.0
235 34 33 1.0
306 44 47 1.0
211 30 20 1.0
72 11 7 1.0
115 17 14 1.0
217 31 42 1.0
251 36 35 1.0
177 26 25 1.0
137 20 22 1.0
28 4 12 1.0
202 29 30 1.0
68 10 11 1.0
109 16 15 1.0
227 33 32 1.0
297 43 45 1.0
238 34 38 1.0
333 48 45 1.0
305 44 46 1.0
79 12 7 1.0
299 43 47 1.0
325 47 44 1.0
276 40 38 1.0
335 48 47 1.0
193 28 27 1.0
138 20 23 1.0
154 22 30 1.0
19 3 5 1.0
5 1 5 1.0
302 43 37 1.0
126 18 21 1.0
95 14 16 1.0
114 17 13 1.0
237 34 36 1.0
143 21 20 1.0
308 44 49 1.0
149 22 19 1.0
187 27 29 1.0
71 10 3 1.0
270 39 40 1.0
290 42 38 1.0
301 43 49 1.0
130 19 22 1.0
135 20 19 1.0
257 37 41 1.0
331 48 43 1.0
216 31 36 1.0
118 17 18 1.0
11 2 4 1.0
249 36 33 1.0
116 17 15 1.0
282 41 37 1.0
58 9 7 1.0
18 3 4 1.0
303 44 43 1.0
12 2 5 1.0
199 29 26 1.0
289 42 37 1.0
324 47 43 1.0
273 39 48 1.0
165 24 21 1.0
156 23 19 1.0
159 23 22 1.0
55 8 12 1.0
141 20 16 1.0
128 19 20 1.0
196 28 34 1.0
197 28 23 1.0
338 0 1 1.0
310 45 43 1.0
233 34 31 1.0
271 39 41 1.0
203 29 35 1.0
224 32 38 1.0
45 7 9 1.0
250 36 34 1.0
188 27 30 1.0
35 5 10 1.0
259 37 48 1.0
192 28 26 1.0
180 26 29 1.0
262 38 39 1.0
228 33 34 1.0
41 6 5 1.0
38 6 2 1.0
317 46 43 1.0
343 0 6 1.0
254 37 38 1.0
234 34 32 1.0
161 23 29 1.0
181 26 30 1.0
304 44 45 1.0
239 34 27 1.0
336 48 49 1.0
96 14 17 1.0
186 27 28 1.0
111 16 18 1.0
323 46 41 1.0
105 15 19 1.0
295 42 32 1.0
160 23 24 1.0
294 42 46 1.0
300 43 48 1.0
315 45 49 1.0
172 25 28 1.0
173 25 29 1.0
104 15 18 1.0
157 23 20 1.0
59 9 8 1.0
298 43 46 1.0
152 22 23 1.0
