110 1100 111879
415 42 40 1.0
626 63 59 1.0
584 59 57 1.0
592 60 55 1.0
470 47 58 1.0
204 21 22 1.0
1061 106 93 1.0
870 87 99 1.0
310 31 45 1.0
662 67 64 1.0
631 63 51 1.0
464 47 49 1.0
553 56 57 1.0
9 1 9 1.0
309 31 36 1.0
761 76 65 1.0
1032 104 100 1.0
1076 108 104 1.0
1026 103 105 1.0
746 75 78 1.0
625 63 58 1.0
889 89 90 1.0
1046 105 104 1.0
265 27 22 1.0
977 98 96 1.0
391 39 28 1.0
21 2 0 1.0
436 44 41 1.0
719 72 71 1.0
918 92 98 1.0
724 73 76 1.0
479 48 54 1.0
1025 103 104 1.0
255 26 22 1.0
308 31 35 1.0
702 71 64 1.0
599 60 63 1.0
210 21 30 1.0
287 29 34 1.0
945 95 94 1.0
939 94 99 1.0
358 36 34 1.0
636 64 69 1.0
764 77 75 1.0
586 59 60 1.0
101 10 3 1.0
467 47 52 1.0
564 57 58 1.0
655 66 68 1.0
377 38 43 1.0
367 37 43 1.0
784 79 75 1.0
810 81 84 1.0
233 24 20 1.0
23 3 2 1.0
509 51 54 1.0
97 10 16 1.0
619 62 63 1.0
520 52 60 1.0
567 57 61 1.0
894 90 84 1.0
472 48 46 1.0
1053 106 101 1.0
766 77 78 1.0
1018 102 107 1.0
850 85 96 1.0
389 39 45 1.0
305 31 32 1.0
407 41 43 1.0
688 69 71 1.0
647 65 70 1.0
411 41 34 1.0
191 19 12 1.0
331 33 25 1.0
637 64 70 1.0
270 27 33 1.0
29 3 9 1.0
813 82 84 1.0
262 27 19 1.0
805 81 76 1.0
873 88 83 1.0
155 16 13 1.0
1054 106 102 1.0
313 32 29 1.0
736 74 78 1.0
406 41 42 1.0
981 98 90 1.0
231 23 13 1.0
521 52 42 1.0
257 26 24 1.0
347 35 33 1.0
419 42 45 1.0
485 49 50 1.0
266 27 23 1.0
7 1 7 1.0
910 91 105 1.0
789 79 81 1.0
800 80 87 1.0
420 42 46 1.0
765 77 76 1.0
80 8 18 1.0
355 36 31 1.0
1077 108 105 1.0
989 99 98 1.0
772 78 73 1.0
480 48 57 1.0
652 66 64 1.0
756 76 78 1.0
852 86 82 1.0
963 97 92 1.0
572 58 55 1.0
1047 105 106 1.0
113 12 11 1.0
299 30 36 1.0
876 88 86 1.0
135 14 13 1.0
686 69 68 1.0
131 13 2 1.0
1030 103 109 1.0
149 15 18 1.0
1028 103 107 1.0
274 28 31 1.0
1010 101 109 1.0
247 25 24 1.0
711 71 57 1.0
864 87 84 1.0
785 79 76 1.0
134 14 12 1.0
551 55 50 1.0
541 54 43 1.0
77 8 6 1.0
519 52 54 1.0
454 46 49 1.0
165 17 13 1.0
339 34 36 1.0
343 35 29 1.0
585 59 58 1.0
540 54 61 1.0
957 96 97 1.0
833 84 83 1.0
936 94 96 1.0
71 7 0 1.0
386 39 42 1.0
117 12 16 1.0
762 77 73 1.0
444 45 39 1.0
561 56 48 1.0
1019 102 108 1.0
223 23 20 1.0
224 23 21 1.0
11 1 0 1.0
428 43 44 1.0
103 11 12 1.0
1020 102 109 1.0
18 2 8 1.0
620 62 69 1.0
739 74 81 1.0
875 88 85 1.0
656 66 69 1.0
794 80 75 1.0
1086 0 5 1.0
830 83 93 1.0
575 58 59 1.0
853 86 83 1.0
282 29 28 1.0
1089 0 8 1.0
776 78 77 1.0
271 27 13 1.0
878 88 89 1.0
486 49 51 1.0
1024 103 102 1.0
687 69 70 1.0
912 92 91 1.0
1097 109 106 1.0
690 69 81 1.0
943 95 92 1.0
718 72 70 1.0
594 60 57 1.0
733 74 75 1.0
47 5 7 1.0
188 19 26 1.0
116 12 15 1.0
560 56 68 1.0
114 12 13 1.0
92 10 11 1.0
1039 104 108 1.0
118 12 17 1.0
70 7 12 1.0
523 53 47 1.0
429 43 45 1.0
324 33 30 1.0
783 79 74 1.0
832 84 82 1.0
417 42 43 1.0
474 48 49 1.0
59 6 9 1.0
698 70 71 1.0
369 37 45 1.0
991 99 83 1.0
256 26 23 1.0
841 84 77 1.0
396 40 42 1.0
886 89 86 1.0
46 5 6 1.0
440 44 53 1.0
598 60 62 1.0
374 38 40 1.0
924 93 94 1.0
902 91 92 1.0
580 58 65 1.0
201 20 16 1.0
330 33 40 1.0
545 55 59 1.0
1082 0 1 1.0
16 2 6 1.0
76 8 5 1.0
252 26 19 1.0
1048 105 107 1.0
1017 102 106 1.0
621 62 47 1.0
488 49 53 1.0
181 18 3 1.0
510 51 57 1.0
378 38 44 1.0
354 36 30 1.0
1037 104 106 1.0
248 25 26 1.0
303 31 29 1.0
422 43 37 1.0
273 28 30 1.0
812 82 83 1.0
961 96 86 1.0
278 28 35 1.0
1068 107 106 1.0
451 45 35 1.0
818 82 89 1.0
384 39 40 1.0
787 79 78 1.0
63 7 2 1.0
356 36 32 1.0
802 81 73 1.0
100 10 24 1.0
922 93 91 1.0
642 65 64 1.0
511 51 37 1.0
69 7 9 1.0
696 70 68 1.0
836 84 87 1.0
824 83 85 1.0
846 85 87 1.0
877 88 87 1.0
885 89 85 1.0
130 13 27 1.0
907 91 97 1.0
522 53 46 1.0
26 3 6 1.0
973 98 92 1.0
822 83 82 1.0
293 30 29 1.0
654 66 67 1.0
107 11 16 1.0
382 39 37 1.0
670 67 73 1.0
893 90 83 1.0
983 99 92 1.0
949 95 99 1.0
758 76 80 1.0
1040 104 109 1.0
85 9 4 1.0
1087 0 6 1.0
234 24 21 1.0
183 19 21 1.0
214 22 21 1.0
1072 108 100 1.0
421 42 32 1.0
495 50 49 1.0
710 71 80 1.0
306 31 33 1.0
941 94 84 1.0
277 28 34 1.0
14 2 4 1.0
227 23 25 1.0
549 55 63 1.0
706 71 68 1.0
606 61 59 1.0
228 23 26 1.0
867 87 88 1.0
286 29 33 1.0
332 34 28 1.0
463 47 48 1.0
861 86 77 1.0
169 17 18 1.0
152 16 10 1.0
1081 108 96 1.0
99 10 18 1.0
211 21 17 1.0
237 24 25 1.0
304 31 30 1.0
376 38 42 1.0
484 49 48 1.0
930 93 101 1.0
475 48 50 1.0
1035 104 103 1.0
703 71 65 1.0
192 20 19 1.0
1065 107 103 1.0
320 32 44 1.0
685 69 67 1.0
911 91 88 1.0
288 29 35 1.0
301 30 26 1.0
948 95 98 1.0
199 20 27 1.0
616 62 59 1.0
487 49 52 1.0
651 65 58 1.0
163 17 11 1.0
207 21 25 1.0
490 49 61 1.0
593 60 56 1.0
865 87 85 1.0
334 34 30 1.0
437 44 42 1.0
1073 108 101 1.0
884 89 84 1.0
738 74 80 1.0
175 18 13 1.0
831 83 81 1.0
579 58 63 1.0
53 6 2 1.0
284 29 31 1.0
73 8 2 1.0
730 73 83 1.0
195 20 23 1.0
530 53 58 1.0
927 93 97 1.0
351 35 19 1.0
988 99 97 1.0
239 24 27 1.0
1001 100 95 1.0
91 9 0 1.0
61 6 0 1.0
944 95 93 1.0
947 95 97 1.0
953 96 92 1.0
849 85 90 1.0
950 95 102 1.0
650 65 77 1.0
489 49 54 1.0
680 68 74 1.0
66 7 5 1.0
720 72 78 1.0
745 75 77 1.0
1021 102 96 1.0
461 46 44 1.0
179 18 17 1.0
806 81 77 1.0
820 82 91 1.0
779 78 81 1.0
505 51 49 1.0
834 84 85 1.0
589 59 63 1.0
577 58 61 1.0
640 64 77 1.0
250 25 29 1.0
477 48 52 1.0
