37 222 6860
112 19 18 1.0
8 2 1 1.0
204 34 36 1.0
79 13 10 1.0
94 16 19 1.0
216 0 5 1.0
152 26 27 1.0
48 8 15 1.0
200 34 31 1.0
161 27 30 1.0
83 14 15 1.0
70 12 14 1.0
3 1 3 1.0
24 4 7 1.0
101 17 20 1.0
96 16 25 1.0
163 27 22 1.0
221 36 35 1.0
44 8 6 1.0
215 0 4 1.0
167 28 30 1.0
172 29 28 1.0
174 29 34 1.0
122 21 22 1.0
168 28 35 1.0
80 14 11 1.0
213 0 2 1.0
73 12 8 1.0
207 35 32 1.0
118 20 18 1.0
82 14 13 1.0
97 16 12 1.0
100 17 19 1.0
67 11 8 1.0
102 17 23 1.0
109 18 15 1.0
218 36 32 1.0
195 33 32 1.0
178 30 28 1.0
92 16 17 1.0
209 35 34 1.0
9 2 3 1.0
179 30 29 1.0
106 18 19 1.0
184 31 34 1.0
149 25 24 1.0
78 13 17 1.0
176 30 26 1.0
217 36 31 1.0
22 4 3 1.0
26 5 1 1.0
132 22 29 1.0
123 21 23 1.0
104 18 16 1.0
191 32 35 1.0
0 36 0 1.0
86 15 11 1.0
84 14 18 1.0
18 3 10 1.0
42 7 15 1.0
115 19 11 1.0
160 27 29 1.0
61 10 2 1.0
1 0 36 1.0
150 25 27 1.0
203 34 35 1.0
57 10 7 1.0
52 9 8 1.0
113 19 20 1.0
194 33 31 1.0
210 35 36 1.0
187 31 28 1.0
91 15 8 1.0
134 23 21 1.0
37 6 2 1.0
196 33 34 1.0
186 31 36 1.0
124 21 24 1.0
30 5 8 1.0
65 11 15 1.0
34 6 9 1.0
192 32 36 1.0
17 3 5 1.0
68 12 11 1.0
6 1 9 1.0
5 1 5 1.0
32 6 7 1.0
177 30 27 1.0
74 13 11 1.0
76 13 14 1.0
95 16 20 1.0
13 2 0 1.0
23 4 5 1.0
188 32 31 1.0
98 17 16 1.0
185 31 35 1.0
53 9 10 1.0
41 7 10 1.0
40 7 9 1.0
56 10 6 1.0
205 34 27 1.0
38 7 6 1.0
165 28 27 1.0
107 18 20 1.0
69 12 13 1.0
190 32 34 1.0
153 26 28 1.0
182 31 32 1.0
140 24 21 1.0
137 23 25 1.0
206 35 31 1.0
15 3 2 1.0
108 18 21 1.0
117 20 17 1.0
119 20 19 1.0
90 15 19 1.0
99 17 18 1.0
128 22 21 1.0
58 10 8 1.0
110 19 16 1.0
63 11 13 1.0
72 12 20 1.0
143 24 25 1.0
158 27 26 1.0
33 6 8 1.0
155 26 30 1.0
89 15 14 1.0
135 23 22 1.0
54 9 13 1.0
139 23 16 1.0
193 32 29 1.0
164 28 26 1.0
103 17 11 1.0
114 19 23 1.0
28 5 3 1.0
87 15 12 1.0
219 36 33 1.0
81 14 12 1.0
66 11 19 1.0
142 24 23 1.0
127 21 16 1.0
201 34 32 1.0
25 4 0 1.0
77 13 15 1.0
4 1 4 1.0
208 35 33 1.0
47 8 10 1.0
11 2 5 1.0
19 3 0 1.0
20 4 1 1.0
189 32 33 1.0
171 29 27 1.0
144 24 30 1.0
49 8 2 1.0
211 35 28 1.0
214 0 3 1.0
60 10 11 1.0
180 30 31 1.0
170 29 26 1.0
199 33 27 1.0
35 6 10 1.0
181 30 24 1.0
162 27 34 1.0
183 31 33 1.0
29 5 4 1.0
36 6 15 1.0
175 29 23 1.0
125 21 25 1.0
88 15 13 1.0
31 5 0 1.0
126 21 28 1.0
121 20 14 1.0
116 20 16 1.0
147 25 22 1.0
71 12 15 1.0
141 24 22 1.0
173 29 30 1.0
45 8 7 1.0
2 1 2 1.0
46 8 9 1.0
148 25 23 1.0
151 25 18 1.0
93 16 18 1.0
43 7 5 1.0
166 28 29 1.0
156 26 35 1.0
133 22 20 1.0
154 26 29 1.0
197 33 35 1.0
120 20 23 1.0
169 28 25 1.0
138 23 28 1.0
64 11 14 1.0
55 9 5 1.0
130 22 24 1.0
146 25 21 1.0
105 18 17 1.0
27 5 2 1.0
62 11 12 1.0
198 33 36 1.0
111 19 17 1.0
157 26 22 1.0
136 23 24 1.0
220 36 34 1.0
212 0 1 1.0
14 3 1 1.0
85 14 6 1.0
145 24 19 1.0
16 3 4 1.0
75 13 12 1.0
12 2 6 1.0
159 27 28 1.0
21 4 2 1.0
51 9 7 1.0
10 2 4 1.0
39 7 8 1.0
202 34 33 1.0
7 1 0 1.0
131 22 25 1.0
129 22 23 1.0
50 9 6 1.0
59 10 9 1.0
0 1 0 36 184 31 34 1.04
1 1 0 36 113 19 20 1.04
2 1 0 36 53 9 10 1.04
3 1 0 36 9 2 3 0.95
4 1 0 36 212 0 1 0.95
5 1 0 36 207 35 32 0.95
6 1 0 36 183 31 33 1.04
7 1 0 36 193 32 29 0.95
8 1 0 36 139 23 16 1.04
9 1 0 36 101 17 20 0.95
10 1 0 36 211 35 28 1.04
11 1 0 36 47 8 10 0.95
12 1 0 36 199 33 27 0.95
13 1 0 36 83 14 15 1.04
14 1 0 36 36 6 15 1.04
15 1 0 36 191 32 35 0.95
16 1 0 36 220 36 34 1.04
17 1 0 36 86 15 11 1.04
18 1 0 36 99 17 18 1.04
19 1 0 36 48 8 15 0.95
20 1 0 36 21 4 2 0.95
21 1 0 36 84 14 18 0.95
22 1 0 36 79 13 10 0.95
23 1 0 36 92 16 17 1.04
24 1 0 36 140 24 21 0.95
25 1 0 36 205 34 27 0.95
26 1 0 36 171 29 27 0.95
27 1 0 36 38 7 6 0.95
28 1 0 36 208 35 33 0.95
29 1 0 36 137 23 25 0.95
30 1 0 36 146 25 21 0.95
31 1 0 36 61 10 2 1.04
32 1 0 36 49 8 2 1.04
33 1 0 36 201 34 32 1.04
34 1 0 36 20 4 1 1.04
35 1 0 36 10 2 4 1.04
36 1 0 36 80 14 11 1.04
37 1 0 36 82 14 13 1.04
38 1 0 36 116 20 16 1.04
39 1 0 36 219 36 33 0.95
40 1 0 36 180 30 31 0.95
41 1 0 36 195 33 32 1.04
42 1 0 36 50 9 6 0.95
43 1 0 36 147 25 22 0.95
44 1 0 36 169 28 25 1.04
45 1 0 36 182 31 32 0.95
46 1 0 36 19 3 0 1.04
47 1 0 36 72 12 20 1.04
48 1 0 36 45 8 7 0.95
49 1 0 36 74 13 11 0.95
50 1 0 36 178 30 28 0.95
51 1 0 36 142 24 23 0.95
52 1 0 36 56 10 6 1.04
53 1 0 36 28 5 3 0.95
54 1 0 36 216 0 5 1.04
55 1 0 36 202 34 33 0.95
56 1 0 36 130 22 24 0.95
57 1 0 36 203 34 35 0.95
58 1 0 36 78 13 17 1.04
59 1 0 36 168 28 35 1.04
60 1 0 36 108 18 21 0.95
61 1 0 36 57 10 7 0.95
62 1 0 36 165 28 27 1.04
63 1 0 36 206 35 31 1.04
64 1 0 36 187 31 28 0.95
65 1 0 36 131 22 25 1.04
66 1 0 36 29 5 4 0.95
67 1 0 36 54 9 13 0.95
68 1 0 36 30 5 8 1.04
69 1 0 36 151 25 18 1.04
70 1 0 36 55 9 5 0.95
71 1 0 36 77 13 15 0.95
72 1 0 36 71 12 15 1.04
73 1 0 36 40 7 9 0.95
74 1 0 36 69 12 13 1.04
75 1 0 36 221 36 35 0.95
76 1 0 36 114 19 23 0.95
77 1 0 36 112 19 18 0.95
78 1 0 36 35 6 10 1.04
79 1 0 36 90 15 19 1.04
80 1 0 36 164 28 26 1.04
81 1 0 36 67 11 8 1.04
82 1 0 36 68 12 11 1.04
83 1 0 36 210 35 36 0.95
84 1 0 36 134 23 21 0.95
85 1 0 36 73 12 8 0.95
86 1 0 36 173 29 30 0.95
87 1 0 36 152 26 27 1.04
88 1 0 36 215 0 4 1.04
89 1 0 36 153 26 28 1.04
90 1 0 36 126 21 28 0.95
91 1 0 36 106 18 19 1.04
92 1 0 36 89 15 14 0.95
93 1 0 36 188 32 31 1.04
94 1 0 36 12 2 6 1.04
95 1 0 36 2 1 2 1.04
96 1 0 36 95 16 20 1.04
97 1 0 36 163 27 22 1.04
98 1 0 36 44 8 6 0.95
99 1 0 36 15 3 2 1.04
100 1 0 36 31 5 0 1.04
101 1 0 36 85 14 6 0.95
102 1 0 36 190 32 34 0.95
103 1 0 36 149 25 24 1.04
104 1 0 36 136 23 24 0.95
105 1 0 36 37 6 2 1.04
106 1 0 36 196 33 34 0.95
107 1 0 36 176 30 26 1.04
108 1 0 36 120 20 23 0.95
109 1 0 36 65 11 15 0.95
110 1 0 36 162 27 34 0.95
111 1 0 36 128 22 21 1.04
112 212 0 1 32 6 7 0.95
113 212 0 1 25 4 0 1.04
114 212 0 1 77 13 15 1.04
115 212 0 1 45 8 7 0.95
116 212 0 1 27 5 2 0.95
117 212 0 1 142 24 23 1.04
118 212 0 1 1 0 36 0.95
119 212 0 1 121 20 14 0.95
120 212 0 1 58 10 8 0.95
121 212 0 1 122 21 22 0.95
122 212 0 1 149 25 24 0.95
123 212 0 1 72 12 20 1.04
124 212 0 1 79 13 10 1.04
125 212 0 1 125 21 25 0.95
126 212 0 1 93 16 18 1.04
127 212 0 1 129 22 23 1.04
128 212 0 1 95 16 20 1.04
129 212 0 1 83 14 15 1.04
130 212 0 1 169 28 25 1.04
131 212 0 1 12 2 6 1.04
132 212 0 1 59 10 9 1.04
133 212 0 1 151 25 18 0.95
134 212 0 1 103 17 11 0.95
135 212 0 1 88 15 13 0.95
136 212 0 1 64 11 14 1.04
137 212 0 1 21 4 2 1.04
138 212 0 1 63 11 13 0.95
139 212 0 1 49 8 2 1.04
140 212 0 1 141 24 22 1.04
141 212 0 1 206 35 31 0.95
142 212 0 1 0 36 0 1.04
143 212 0 1 176 30 26 0.95
144 212 0 1 159 27 28 0.95
145 212 0 1 145 24 19 1.04
146 212 0 1 114 19 23 0.95
147 212 0 1 123 21 23 0.95
148 212 0 1 6 1 9 0.95
149 212 0 1 10 2 4 0.95
150 212 0 1 26 5 1 1.04
151 212 0 1 50 9 6 0.95
152 212 0 1 178 30 28 1.04
153 212 0 1 57 10 7 0.95
154 212 0 1 201 34 32 1.04
155 212 0 1 172 29 28 1.04
