114 1026 108944
642 72 66 1.0
33 4 6 1.0
523 58 51 1.0
335 38 33 1.0
554 62 60 1.0
470 53 49 1.0
371 42 41 1.0
969 108 110 1.0
587 66 65 1.0
760 85 83 1.0
808 90 95 1.0
59 7 4 1.0
67 8 3 1.0
579 65 67 1.0
627 70 69 1.0
568 63 51 1.0
80 9 16 1.0
154 17 11 1.0
29 4 1 1.0
1023 113 110 1.0
66 8 2 1.0
979 109 111 1.0
559 62 56 1.0
126 14 17 1.0
963 107 113 1.0
36 4 13 1.0
81 9 24 1.0
147 17 19 1.0
98 11 16 1.0
534 60 58 1.0
298 33 25 1.0
457 51 55 1.0
397 44 35 1.0
342 38 43 1.0
313 35 39 1.0
830 93 89 1.0
234 26 39 1.0
524 59 57 1.0
949 106 108 1.0
803 90 89 1.0
603 67 79 1.0
628 70 71 1.0
805 90 92 1.0
930 104 98 1.0
684 76 88 1.0
965 108 105 1.0
263 30 25 1.0
614 69 65 1.0
1012 0 3 1.0
94 11 12 1.0
868 97 100 1.0
682 76 79 1.0
334 37 30 1.0
146 17 18 1.0
809 90 96 1.0
150 17 22 1.0
230 26 29 1.0
259 29 31 1.0
634 71 67 1.0
235 26 20 1.0
251 28 32 1.0
927 103 110 1.0
940 105 108 1.0
645 72 69 1.0
754 84 87 1.0
836 93 96 1.0
1018 113 105 1.0
890 99 104 1.0
393 44 46 1.0
61 7 6 1.0
569 64 57 1.0
812 91 89 1.0
367 41 47 1.0
494 55 56 1.0
663 74 78 1.0
301 34 36 1.0
1 0 113 1.0
492 55 53 1.0
702 78 87 1.0
32 4 5 1.0
521 58 64 1.0
679 76 75 1.0
293 33 37 1.0
997 111 110 1.0
109 12 3 1.0
978 109 110 1.0
253 28 24 1.0
825 92 94 1.0
740 83 81 1.0
773 86 88 1.0
406 45 34 1.0
3 1 3 1.0
65 8 1 1.0
968 108 109 1.0
315 35 44 1.0
195 22 21 1.0
496 55 45 1.0
872 97 104 1.0
339 38 37 1.0
136 15 1 1.0
742 83 84 1.0
133 15 14 1.0
343 38 31 1.0
581 65 69 1.0
793 88 78 1.0
932 104 100 1.0
188 21 24 1.0
819 91 104 1.0
811 90 83 1.0
693 77 88 1.0
249 28 30 1.0
220 25 28 1.0
7 1 7 1.0
543 61 58 1.0
414 46 55 1.0
497 56 49 1.0
267 30 29 1.0
647 72 71 1.0
600 67 70 1.0
368 41 48 1.0
585 65 76 1.0
802 89 86 1.0
390 44 42 1.0
403 45 47 1.0
491 55 52 1.0
348 39 37 1.0
779 87 84 1.0
74 9 10 1.0
831 93 90 1.0
431 48 47 1.0
264 30 26 1.0
473 53 52 1.0
39 5 2 1.0
358 40 38 1.0
785 88 81 1.0
374 42 45 1.0
226 25 17 1.0
40 5 3 1.0
639 71 75 1.0
519 58 62 1.0
299 34 33 1.0
865 96 88 1.0
394 44 47 1.0
500 56 52 1.0
776 87 81 1.0
144 16 24 1.0
903 101 98 1.0
208 23 16 1.0
174 20 18 1.0
797 89 93 1.0
881 98 104 1.0
668 75 73 1.0
284 32 28 1.0
381 43 42 1.0
134 15 16 1.0
758 85 81 1.0
107 12 16 1.0
391 44 43 1.0
1013 0 4 1.0
1005 112 109 1.0
256 29 27 1.0
130 15 11 1.0
644 72 68 1.0
306 34 42 1.0
584 65 72 1.0
119 14 9 1.0
273 31 26 1.0
701 78 80 1.0
215 24 23 1.0
807 90 94 1.0
905 101 100 1.0
326 37 33 1.0
493 55 54 1.0
85 10 12 1.0
611 68 72 1.0
814 91 92 1.0
364 41 44 1.0
292 33 36 1.0
687 77 74 1.0
