42 252 9035
98 17 16 1.0
1 0 41 1.0
82 14 13 1.0
120 20 24 1.0
91 15 9 1.0
243 0 2 1.0
250 41 39 1.0
10 2 4 1.0
195 33 32 1.0
73 12 8 1.0
194 33 31 1.0
244 0 3 1.0
150 25 28 1.0
149 25 24 1.0
79 13 6 1.0
227 38 40 1.0
204 34 37 1.0
155 26 30 1.0
151 25 18 1.0
156 26 35 1.0
62 11 12 1.0
135 23 22 1.0
56 10 6 1.0
229 38 31 1.0
161 27 30 1.0
89 15 14 1.0
21 4 2 1.0
215 36 40 1.0
131 22 25 1.0
177 30 27 1.0
119 20 19 1.0
55 9 1 1.0
96 16 21 1.0
246 0 5 1.0
198 33 39 1.0
183 31 33 1.0
228 38 41 1.0
22 4 3 1.0
80 14 11 1.0
136 23 24 1.0
172 29 28 1.0
114 19 21 1.0
133 22 16 1.0
171 29 27 1.0
66 11 19 1.0
23 4 5 1.0
201 34 32 1.0
57 10 7 1.0
187 31 29 1.0
146 25 21 1.0
163 27 22 1.0
128 22 21 1.0
69 12 13 1.0
58 10 8 1.0
234 39 41 1.0
191 32 35 1.0
169 28 22 1.0
86 15 11 1.0
232 39 38 1.0
28 5 3 1.0
153 26 28 1.0
116 20 16 1.0
20 4 1 1.0
168 28 33 1.0
106 18 19 1.0
127 21 16 1.0
241 40 31 1.0
226 38 39 1.0
43 7 3 1.0
144 24 30 1.0
25 4 0 1.0
103 17 13 1.0
14 3 1 1.0
249 41 38 1.0
47 8 10 1.0
3 1 3 1.0
245 0 4 1.0
70 12 14 1.0
49 8 5 1.0
95 16 20 1.0
94 16 19 1.0
211 35 29 1.0
218 37 36 1.0
102 17 23 1.0
221 37 40 1.0
11 2 5 1.0
42 7 14 1.0
158 27 26 1.0
16 3 4 1.0
152 26 27 1.0
30 5 10 1.0
18 3 6 1.0
132 22 26 1.0
238 40 38 1.0
209 35 34 1.0
29 5 4 1.0
113 19 20 1.0
81 14 12 1.0
7 1 0 1.0
188 32 31 1.0
199 33 28 1.0
27 5 2 1.0
193 32 29 1.0
90 15 18 1.0
105 18 17 1.0
182 31 32 1.0
197 33 35 1.0
87 15 12 1.0
51 9 7 1.0
239 40 39 1.0
148 25 23 1.0
107 18 20 1.0
231 39 37 1.0
184 31 34 1.0
46 8 9 1.0
134 23 21 1.0
53 9 10 1.0
223 37 32 1.0
206 35 31 1.0
248 41 37 1.0
230 39 36 1.0
139 23 17 1.0
19 3 0 1.0
185 31 35 1.0
216 36 41 1.0
202 34 33 1.0
130 22 24 1.0
97 16 11 1.0
60 10 12 1.0
67 11 9 1.0
38 7 6 1.0
93 16 18 1.0
6 1 6 1.0
214 36 39 1.0
15 3 2 1.0
147 25 22 1.0
45 8 7 1.0
32 6 7 1.0
5 1 5 1.0
37 6 3 1.0
