72 432 28385
311 52 55 1.0
265 44 39 1.0
299 50 49 1.0
379 63 60 1.0
227 38 40 1.0
178 30 28 1.0
223 37 32 1.0
307 51 46 1.0
139 23 17 1.0
335 56 60 1.0
39 7 8 1.0
356 60 56 1.0
47 8 10 1.0
44 8 6 1.0
100 17 19 1.0
72 12 20 1.0
205 34 29 1.0
308 52 51 1.0
51 9 7 1.0
397 66 64 1.0
286 48 49 1.0
354 59 62 1.0
209 35 34 1.0
419 70 69 1.0
56 10 6 1.0
104 18 16 1.0
167 28 30 1.0
42 7 14 1.0
245 41 45 1.0
400 67 69 1.0
319 53 48 1.0
323 54 55 1.0
95 16 20 1.0
157 26 23 1.0
80 14 11 1.0
409 68 61 1.0
3 1 3 1.0
206 35 31 1.0
363 61 63 1.0
210 35 39 1.0
145 24 17 1.0
143 24 25 1.0
53 9 10 1.0
166 28 29 1.0
89 15 14 1.0
185 31 35 1.0
33 6 8 1.0
183 31 33 1.0
267 45 42 1.0
38 7 6 1.0
349 58 53 1.0
306 51 57 1.0
243 41 43 1.0
105 18 17 1.0
149 25 24 1.0
202 34 33 1.0
76 13 14 1.0
263 44 45 1.0
401 67 70 1.0
37 6 3 1.0
175 29 23 1.0
162 27 32 1.0
380 64 61 1.0
186 31 38 1.0
251 42 45 1.0
387 65 62 1.0
109 18 13 1.0
314 53 51 1.0
284 48 46 1.0
256 43 44 1.0
181 30 23 1.0
225 38 37 1.0
359 60 59 1.0
352 59 58 1.0
199 33 28 1.0
378 63 67 1.0
169 28 22 1.0
108 18 23 1.0
190 32 34 1.0
34 6 9 1.0
238 40 38 1.0
98 17 16 1.0
414 69 71 1.0
411 69 67 1.0
340 57 59 1.0
324 54 57 1.0
385 64 58 1.0
233 39 40 1.0
244 41 44 1.0
288 48 52 1.0
391 65 56 1.0
330 55 59 1.0
240 40 41 1.0
333 56 58 1.0
86 15 11 1.0
144 24 30 1.0
29 5 4 1.0
113 19 20 1.0
8 2 1 1.0
133 22 16 1.0
163 27 22 1.0
386 65 61 1.0
17 3 5 1.0
268 45 43 1.0
334 56 59 1.0
93 16 18 1.0
219 37 38 1.0
5 1 5 1.0
138 23 29 1.0
131 22 25 1.0
6 1 6 1.0
92 16 17 1.0
395 66 70 1.0
77 13 15 1.0
78 13 18 1.0
15 3 2 1.0
310 52 54 1.0
320 54 51 1.0
315 53 52 1.0
107 18 20 1.0
193 32 29 1.0
420 70 71 1.0
13 2 0 1.0
410 69 66 1.0
296 50 46 1.0
30 5 10 1.0
52 9 8 1.0
174 29 34 1.0
342 57 64 1.0
424 0 3 1.0
270 45 47 1.0
321 54 52 1.0
158 27 26 1.0
353 59 60 1.0
377 63 65 1.0
222 37 43 1.0
312 52 60 1.0
247 41 39 1.0
96 16 21 1.0
302 51 52 1.0
116 20 16 1.0
248 42 41 1.0
365 61 65 1.0
276 46 54 1.0
50 9 6 1.0
68 12 11 1.0
31 5 0 1.0
150 25 28 1.0
293 49 50 1.0
25 4 0 1.0
127 21 16 1.0
272 46 47 1.0
32 6 7 1.0
195 33 32 1.0
351 59 57 1.0
370 62 64 1.0
59 10 9 1.0
41 7 10 1.0
413 69 70 1.0
347 58 60 1.0
368 62 61 1.0
366 61 67 1.0
69 12 13 1.0
155 26 30 1.0
339 57 58 1.0
360 60 61 1.0
421 70 65 1.0
115 19 14 1.0
218 37 36 1.0
101 17 20 1.0
327 55 52 1.0
212 36 37 1.0
24 4 7 1.0
124 21 24 1.0
2 1 2 1.0
62 11 12 1.0
20 4 1 1.0
49 8 5 1.0
85 14 8 1.0
152 26 27 1.0
304 51 54 1.0
