62 434 23988
355 51 53 1.0
377 54 53 1.0
416 60 56 1.0
96 14 17 1.0
308 44 50 1.0
271 39 41 1.0
400 57 50 1.0
151 22 21 1.0
403 58 57 1.0
285 41 40 1.0
338 49 50 1.0
356 51 54 1.0
76 11 12 1.0
181 26 30 1.0
350 50 58 1.0
329 47 49 1.0
213 31 33 1.0
164 24 20 1.0
335 48 47 1.0
404 58 59 1.0
263 38 40 1.0
34 5 6 1.0
300 43 48 1.0
258 37 42 1.0
198 29 25 1.0
299 43 47 1.0
131 19 23 1.0
167 24 23 1.0
36 5 0 1.0
212 31 32 1.0
202 29 30 1.0
319 46 45 1.0
333 48 45 1.0
247 36 31 1.0
371 53 58 1.0
248 36 32 1.0
352 51 49 1.0
409 59 56 1.0
317 46 43 1.0
398 57 60 1.0
367 53 50 1.0
343 49 58 1.0
165 24 21 1.0
45 7 9 1.0
410 59 57 1.0
185 27 26 1.0
427 0 6 1.0
277 40 39 1.0
141 20 16 1.0
316 45 38 1.0
369 53 52 1.0
31 5 2 1.0
331 48 43 1.0
266 38 45 1.0
197 28 23 1.0
392 56 61 1.0
342 49 54 1.0
429 61 56 1.0
72 11 7 1.0
29 4 0 1.0
270 39 40 1.0
382 55 58 1.0
216 31 36 1.0
287 41 44 1.0
228 33 34 1.0
397 57 59 1.0
281 40 35 1.0
201 29 28 1.0
88 13 16 1.0
70 10 18 1.0
54 8 11 1.0
106 15 12 1.0
309 44 38 1.0
361 52 51 1.0
32 5 3 1.0
396 57 58 1.0
415 60 55 1.0
94 14 15 1.0
274 39 31 1.0
26 4 5 1.0
154 22 30 1.0
345 50 49 1.0
244 35 36 1.0
230 33 36 1.0
147 21 27 1.0
0 61 0 1.0
425 0 4 1.0
267 38 31 1.0
405 58 60 1.0
301 43 52 1.0
420 60 61 1.0
233 34 31 1.0
12 2 5 1.0
187 27 29 1.0
391 56 60 1.0
246 35 25 1.0
200 29 27 1.0
215 31 35 1.0
1 0 61 1.0
288 41 34 1.0
74 11 9 1.0
174 25 30 1.0
360 52 50 1.0
115 17 14 1.0
303 44 43 1.0
37 6 1 1.0
145 21 23 1.0
20 3 6 1.0
195 28 30 1.0
311 45 44 1.0
273 39 48 1.0
63 9 17 1.0
302 43 37 1.0
108 16 14 1.0
297 43 45 1.0
322 46 52 1.0
17 3 2 1.0
330 47 37 1.0
28 4 12 1.0
134 19 18 1.0
324 47 43 1.0
344 49 43 1.0
334 48 46 1.0
124 18 16 1.0
354 51 52 1.0
149 22 19 1.0
69 10 12 1.0
368 53 51 1.0
67 10 9 1.0
194 28 29 1.0
340 49 52 1.0
99 14 11 1.0
220 32 33 1.0
414 59 50 1.0
349 50 54 1.0
347 50 52 1.0
243 35 34 1.0
75 11 10 1.0
14 2 8 1.0
292 42 40 1.0
125 18 17 1.0
327 47 46 1.0
254 37 38 1.0
363 52 54 1.0
168 24 29 1.0
351 50 46 1.0
310 45 43 1.0
33 5 4 1.0
97 14 18 1.0
148 21 14 1.0
250 36 34 1.0
112 16 24 1.0
18 3 4 1.0
111 16 18 1.0
313 45 47 1.0
