20 300 5651
0 2 7 8.62
1 15 5 8.6
2 4 14 7.73
3 14 3 7.71
4 17 12 8.24
5 1 17 7.44
6 12 11 7.29
7 8 14 8.65
8 5 14 5.65
9 3 17 6.89
10 1 19 9.59
11 1 14 7.98
12 3 0 7.87
13 10 18 7.59
14 13 11 8.4
15 3 7 8.56
16 10 17 5.15
17 10 13 9.28
18 4 16 7.29
19 14 8 8.94
20 2 13 7.06
21 11 19 5.09
22 3 6 5.11
23 0 4 5.89
24 12 17 8.28
25 16 10 5.95
26 17 18 8.62
27 17 7 8.96
28 16 0 7.36
29 10 3 8.55
30 19 7 7.25
31 11 10 5.0
32 16 5 9.74
33 1 3 9.69
34 6 18 8.98
35 6 12 5.72
36 5 6 7.87
37 19 1 6.19
38 8 16 6.35
39 9 11 9.63
40 12 15 8.78
41 16 18 8.87
42 1 13 9.17
43 1 0 8.7
44 19 15 8.75
45 15 2 6.08
46 13 12 8.83
47 5 15 8.09
48 16 6 7.55
49 1 7 5.91
50 15 6 9.42
51 19 18 9.8
52 12 4 8.44
53 17 11 6.91
54 14 16 8.24
55 15 18 6.38
56 15 12 6.43
57 0 16 9.01
58 8 2 9.38
59 5 9 6.17
60 10 11 7.05
61 10 2 7.06
62 3 15 6.22
63 7 11 9.27
64 2 4 7.38
65 11 3 5.2
66 18 3 5.6
67 3 18 5.66
68 3 13 8.19
69 16 1 7.04
70 11 2 9.3
71 19 5 9.68
72 3 14 8.08
73 4 13 6.34
74 2 0 5.12
75 11 13 7.53
76 13 4 5.7
77 17 15 5.97
78 8 17 8.1
79 1 11 7.1
80 17 4 8.26
81 14 0 9.36
82 17 0 7.2
83 7 10 8.34
84 14 5 8.05
85 0 19 9.64
86 18 15 6.67
87 19 3 6.07
88 9 16 5.93
89 7 4 8.46
90 7 6 6.0
91 6 11 5.61
92 16 2 9.09
93 5 13 6.41
94 17 6 7.25
95 7 2 6.7
96 4 12 8.77
97 18 1 8.85
98 3 4 8.23
99 17 1 7.92
100 17 10 5.26
101 0 15 5.08
102 4 11 8.84
103 13 10 5.06
104 5 17 7.97
105 8 0 8.52
106 11 14 9.21
107 14 18 7.39
108 19 8 8.08
109 12 7 8.29
110 1 9 6.61
111 15 8 8.17
112 10 16 9.18
113 10 12 8.85
114 19 0 9.14
115 16 7 8.14
116 6 5 5.27
117 5 12 7.7
118 18 16 5.71
119 0 6 6.56
120 18 10 7.96
121 9 6 7.53
122 19 12 6.77
123 16 4 6.36
124 9 15 9.4
125 7 13 9.86
126 15 3 5.93
127 4 2 5.52
128 1 12 6.73
129 6 14 5.85
130 9 8 8.72
131 14 7 8.98
132 2 15 6.18
133 9 4 7.81
134 9 19 9.16
135 7 3 5.85
136 0 2 6.78
137 1 16 5.97
138 11 5 8.52
139 11 9 6.28
140 6 16 5.74
141 12 18 9.03
