60 1800 53313
0 33 34 6.37
1 5 50 6.02
2 29 6 7.09
3 5 35 8.73
4 30 53 5.36
5 29 33 7.4
6 0 17 8.16
7 0 59 5.6
8 48 50 9.13
9 34 24 9.43
10 37 30 6.13
11 45 1 8.19
12 4 50 8.82
13 52 43 7.33
14 39 18 6.54
15 28 48 7.26
16 41 58 8.08
17 23 25 6.37
18 55 8 6.2
19 25 14 8.66
20 15 57 8.83
21 9 13 6.67
22 48 39 5.32
23 3 20 7.76
24 41 36 9.72
25 38 43 8.88
26 46 30 6.93
27 41 28 6.15
28 7 36 6.88
29 4 2 7.77
30 29 3 5.94
31 36 28 5.42
32 36 47 7.73
33 54 6 9.3
34 35 59 6.26
35 57 1 9.56
36 50 16 7.81
37 11 20 9.89
38 42 39 8.15
39 19 26 6.2
40 45 13 6.99
41 35 46 5.25
42 1 26 5.01
43 49 50 7.84
44 45 58 5.21
45 3 43 6.45
46 54 20 5.44
47 17 42 7.0
48 51 59 7.14
49 28 37 7.54
50 36 25 8.66
51 20 5 8.16
52 5 10 6.43
53 50 34 9.64
54 26 0 8.56
55 33 54 9.6
56 14 21 9.34
57 5 27 7.59
58 38 11 6.77
59 15 37 6.01
60 8 16 7.55
61 34 47 8.75
62 4 39 6.87
63 58 2 7.87
64 31 30 5.74
65 28 41 9.62
66 30 6 9.04
67 18 9 5.49
68 46 49 5.61
69 45 5 9.32
70 12 38 5.21
71 10 41 8.05
72 50 7 9.15
73 39 21 7.34
74 37 24 8.4
75 56 11 5.36
76 51 2 5.04
77 50 19 5.18
78 57 36 9.51
79 55 18 7.11
80 59 35 6.13
81 27 59 7.67
82 21 42 7.49
83 24 28 5.08
84 47 36 7.33
85 40 2 5.72
86 46 44 6.54
87 35 12 7.99
88 25 52 7.73
89 29 41 5.25
90 54 19 6.53
91 57 30 5.5
92 6 58 6.0
93 10 54 6.24
94 49 19 8.6
95 1 2 6.83
96 40 16 7.98
97 58 3 6.9
98 20 46 9.19
99 28 21 7.23
100 1 38 8.75
101 44 27 9.17
102 26 58 7.68
103 30 21 5.44
104 55 23 7.23
105 32 49 5.58
106 50 30 6.49
107 29 53 8.65
108 18 21 8.41
109 3 55 5.27
110 58 50 5.83
111 27 7 5.96
112 58 59 9.52
113 6 22 5.27
114 9 8 7.57
115 7 12 8.76
116 52 29 6.19
117 56 1 8.11
118 38 39 8.43
119 3 38 9.69
120 56 46 7.06
121 14 1 7.79
122 9 40 8.94
123 10 51 8.08
124 29 39 6.17
125 32 20 5.31
126 14 39 6.51
127 18 13 6.56
128 16 26 9.69
129 42 54 7.01
130 2 34 5.11
131 15 6 7.62
132 4 24 5.84
133 29 5 8.65
134 40 39 7.84
135 56 22 5.06
136 0 32 5.81
137 0 43 5.14
138 53 13 7.7
139 5 0 9.42
140 8 45 6.07
141 4 35 5.0
142 6 17 7.62
143 48 16 7.34
144 14 41 5.85
145 55 43 5.62
146 51 55 7.65
147 15 45 7.12
148 22 24 8.2
149 7 19 9.45
150 0 29 8.49
151 48 38 6.8
152 40 33 8.34
153 26 31 7.76
154 47 41 7.85
155 9 6 8.94
156 31 28 7.35
157 9 15 5.05
158 52 6 9.22
159 38 44 8.78
160 12 27 8.59
161 7 6 5.73
162 34 18 8.55
163 42 47 7.36
164 31 24 5.15
165 41 52 6.03
166 10 40 7.0
167 32 23 6.35
168 16 32 8.81
169 6 4 5.27
170 9 42 5.62
171 34 37 6.89
172 4 7 9.45
173 39 9 8.7
174 10 4 9.22
175 34 29 5.18
176 11 28 8.04
177 17 4 5.82
178 39 51 8.22
179 38 25 8.41
180 45 36 7.18
181 0 57 8.08
182 36 5 5.36
183 58 40 8.55
184 45 0 8.27
185 0 18 8.71
186 33 10 5.67
187 24 41 8.28
188 38 46 5.28
189 1 45 5.7
190 7 26 5.5
191 48 34 5.13
192 20 10 6.69
193 57 15 9.74
194 32 45 6.14
195 56 58 8.83
196 31 39 7.69
197 6 7 9.92
198 10 25 7.52
199 42 31 5.35
200 5 20 9.61
201 19 43 6.38
202 29 37 9.74
203 29 46 8.03
204 49 37 7.62
205 51 57 7.27
206 12 26 7.36
207 40 26 8.28
208 10 33 5.32
209 25 47 7.99
210 0 4 8.45
211 39 46 7.29
212 14 43 5.73
213 8 59 6.01
214 22 33 9.48
215 47 50 9.44
216 51 49 6.63
217 43 17 6.41
218 50 56 7.26
219 27 51 6.26
220 8 46 6.92
221 0 40 9.58
222 55 31 8.54
223 39 20 5.8
224 49 56 7.41
225 37 43 9.07
226 52 21 8.09
227 53 49 6.13
228 40 24 8.97
229 42 34 9.64
230 27 8 6.67
231 3 59 7.29
232 28 13 7.27
233 24 18 8.01
234 36 57 9.13
235 5 18 9.11
236 37 59 5.72
237 3 2 9.18
238 34 39 6.18
239 10 43 5.17
240 12 58 7.44
241 30 50 9.4
242 25 0 5.2
243 14 18 6.93
244 32 55 6.81
245 57 33 8.29
246 19 53 5.91
247 44 22 6.13
248 36 51 9.38
249 56 42 8.98
250 49 54 7.45
251 5 21 8.37
252 33 52 6.27
253 49 26 8.13
254 17 49 7.01
255 37 0 9.22
256 4 59 8.04
257 0 52 6.49
258 44 57 9.84
259 10 15 7.64
260 39 11 6.57
261 15 24 6.49
262 37 40 9.16
263 12 1 7.38
264 55 30 7.54
265 37 4 9.62
266 6 52 9.95
267 8 11 6.0
268 5 44 6.48
269 36 10 5.31
270 44 16 5.09
271 50 40 9.7
272 20 0 9.41
273 45 37 8.94
274 41 59 5.69
275 17 18 8.54
276 55 16 5.45
277 58 15 6.54
278 45 10 8.14
279 43 13 6.85
280 12 31 7.78
281 13 5 8.25
282 18 56 5.86
283 43 27 9.04
284 23 16 5.26
285 34 28 5.33
286 4 57 6.62
287 25 28 9.12
288 7 39 8.07
289 9 17 8.66
290 21 52 9.64
291 6 25 6.52
292 58 19 9.99
293 54 24 5.85
294 1 52 5.52
295 10 9 8.66
296 43 30 5.77
297 8 57 6.46
298 35 52 9.23
299 8 19 6.89
300 3 50 6.74
301 50 18 9.14
302 41 2 8.21
303 12 16 5.77
304 24 19 8.18
305 11 14 7.65
306 54 58 5.81
307 38 20 6.94
308 5 19 8.14
309 41 11 9.41
310 44 20 8.73
311 25 45 6.53
312 31 10 8.57
313 3 53 8.36
314 55 26 5.3
315 56 2 7.01
316 55 54 9.15
317 7 21 8.64
318 45 14 5.52
319 59 7 5.19
320 35 6 8.42
321 35 48 8.52
322 37 16 8.43
323 44 1 6.48
324 26 16 8.1
325 4 18 5.66
326 40 23 5.29
327 51 24 9.55
328 24 17 9.34
329 30 14 5.15
330 53 26 8.16
331 13 22 7.79
332 6 0 8.05
333 50 22 8.63
334 39 33 7.02
335 23 41 5.16
336 58 6 9.74
337 55 37 8.26
338 39 32 9.87
339 2 36 7.28
340 16 0 7.35
341 0 31 5.49
342 4 12 6.25
343 39 37 5.94
344 30 4 7.09
345 19 41 6.86
346 24 54 9.09
347 12 11 6.34
348 48 8 7.31
349 12 42 7.55
350 44 13 7.76
351 19 5 9.58
352 46 17 9.52
353 9 51 8.91
354 58 42 7.92
355 45 8 7.78
356 43 22 6.91
357 58 29 9.11
358 28 59 5.35
359 24 27 9.22
