40 800 15650
0 14 27 6.22
1 10 23 3.82
2 37 6 8.05
3 5 1 9.09
4 19 38 7.13
5 12 19 3.38
6 20 2 1.88
7 6 21 1.14
8 2 24 6.17
9 32 9 5.97
10 39 8 1.27
11 24 39 0.28
12 30 31 5.56
13 13 23 4.36
14 0 25 6.95
15 20 34 8.93
16 11 23 6.0
17 30 39 6.93
18 27 35 9.73
19 12 0 3.86
20 34 36 6.86
21 27 23 3.81
22 3 1 3.72
23 13 3 5.85
24 20 13 6.15
25 26 39 0.75
26 8 21 2.29
27 22 4 1.53
28 20 33 0.95
29 22 36 9.19
30 12 29 5.61
31 9 29 2.93
32 34 33 9.51
33 18 39 7.02
34 33 12 4.53
35 20 26 7.94
36 15 16 2.06
37 32 11 7.18
38 27 15 10.11
39 21 6 1.31
40 20 22 2.22
41 38 15 1.63
42 29 6 8.65
43 4 23 5.74
44 34 22 11.53
45 16 13 1.59
46 19 35 5.69
47 26 24 0.61
48 5 27 3.98
49 4 31 7.6
50 31 24 3.81
51 1 24 4.25
52 11 7 5.04
53 4 26 9.4
54 1 32 5.33
55 16 35 6.28
56 4 21 8.71
57 18 31 3.43
58 6 31 1.64
59 35 2 3.6
60 3 0 8.47
61 1 37 5.19
62 12 23 1.79
63 31 19 2.46
64 9 18 4.25
65 15 31 9.23
66 39 10 3.12
67 32 15 0.86
68 27 12 5.38
69 18 16 7.83
70 2 25 6.6
71 14 34 8.81
72 5 36 5.99
73 35 32 8.56
74 14 7 2.85
75 29 21 10.6
76 4 34 12.14
77 37 15 0.13
78 32 8 7.19
79 38 37 1.88
80 26 20 8.01
81 4 9 3.01
82 14 17 3.01
83 23 33 3.28
84 2 38 7.28
85 12 17 5.46
86 31 7 5.69
87 36 17 9.3
88 19 26 5.97
89 35 19 5.9
90 37 2 7.74
91 6 11 8.98
92 36 22 9.79
93 2 5 8.48
94 16 39 6.63
95 17 25 4.77
96 6 16 7.14
97 11 15 6.6
98 24 5 0.57
99 26 10 4.03
100 19 12 3.19
101 8 12 3.97
102 3 7 2.53
103 29 11 1.07
104 2 17 4.19
105 15 6 8.56
106 23 21 4.4
107 12 37 4.09
108 24 14 7.44
109 9 36 6.91
110 24 20 7.56
